Date,Name,Year,Letterboxd URI
2025-12-20,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A
2025-12-20,The Great Gatsby,2013,https://boxd.it/JY
2025-12-20,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY
2025-12-20,Apocalypse Now,1979,https://boxd.it/6ZS
2025-12-20,28 Years Later,2025,https://boxd.it/FEGM
2025-12-20,"I, Tonya",2017,https://boxd.it/dzR0
2025-12-20,Charlie and the Chocolate Factory,2005,https://boxd.it/2b68
2025-12-20,Moana,2016,https://boxd.it/8tfY
2025-12-20,Encanto,2021,https://boxd.it/kPRu
2025-12-20,Ex Machina,2015,https://boxd.it/7T2k
2025-12-20,American Beauty,1999,https://boxd.it/71Y
2025-12-20,Ponyo,2008,https://boxd.it/1S0A
2025-12-20,Kiki's Delivery Service,1989,https://boxd.it/1JAY
2025-12-20,Beetlejuice Beetlejuice,2024,https://boxd.it/yyGs
2025-12-20,Final Destination Bloodlines,2025,https://boxd.it/l5y4
2025-12-20,Luca,2021,https://boxd.it/ipjC
2025-12-20,The Nice Guys,2016,https://boxd.it/94Hg
2025-12-20,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI
2025-12-20,Society of the Snow,2023,https://boxd.it/y9aw
2025-12-20,Twisters,2024,https://boxd.it/qV7a
2025-12-20,Shaun of the Dead,2004,https://boxd.it/29J8
2025-12-20,Before Sunset,2004,https://boxd.it/2bcg
2025-12-20,Pretty Woman,1990,https://boxd.it/2b6M
2025-12-20,Pan's Labyrinth,2006,https://boxd.it/28No
2025-12-20,Train to Busan,2016,https://boxd.it/dSQU
2025-12-20,The Princess Bride,1987,https://boxd.it/26EY
2025-12-20,The Shape of Water,2017,https://boxd.it/dZ5m
2025-12-20,Chungking Express,1994,https://boxd.it/1UDa
2025-12-20,Casablanca,1942,https://boxd.it/2aG0
2025-12-20,Turning Red,2022,https://boxd.it/ipkq
2025-12-20,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS
2025-12-20,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q
2025-12-20,Mr. & Mrs. Smith,2005,https://boxd.it/29CG
2025-12-20,White Chicks,2004,https://boxd.it/1SpK
2025-12-20,Triangle of Sadness,2022,https://boxd.it/hXlq
2025-12-20,The Princess Diaries,2001,https://boxd.it/1XCO
2025-12-20,Carrie,1976,https://boxd.it/20ZQ
2025-12-20,The Big Short,2015,https://boxd.it/ajZw
2025-12-20,Mulan,1998,https://boxd.it/1VFw
2025-12-20,21 Jump Street,2012,https://boxd.it/J0
2025-12-20,Squid Game,2021,https://boxd.it/x1OG
2025-12-20,Saw,2004,https://boxd.it/2aWW
2025-12-20,The Usual Suspects,1995,https://boxd.it/29XE
2025-12-20,School of Rock,2003,https://boxd.it/28xK
2025-12-20,Grease,1978,https://boxd.it/29YW
2025-12-20,The Parent Trap,1998,https://boxd.it/1XJq
2025-12-20,Children of Men,2006,https://boxd.it/1Y2i
2025-12-20,Ready Player One,2018,https://boxd.it/aZes
2025-12-20,A Quiet Place: Day One,2024,https://boxd.it/sDAi
2025-12-20,Akira,1988,https://boxd.it/2b1i
2025-12-20,Rear Window,1954,https://boxd.it/2a6Q
2025-12-20,Top Gun,1986,https://boxd.it/29JC
2025-12-20,Hacksaw Ridge,2016,https://boxd.it/azew
2025-12-20,The Blair Witch Project,1999,https://boxd.it/26ua
2025-12-20,Aliens,1986,https://boxd.it/29PA
2025-12-20,Brave,2012,https://boxd.it/bVG
2025-12-20,Lilo & Stitch,2002,https://boxd.it/1TAY
2025-12-20,Zombieland,2009,https://boxd.it/1En6
2025-12-20,Pirates of the Caribbean: Dead Man's Chest,2006,https://boxd.it/2bfk
2025-12-20,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk
2025-12-20,Atonement,2007,https://boxd.it/24ui
2025-12-20,V for Vendetta,2005,https://boxd.it/29Ik
2025-12-20,The Twilight Saga: New Moon,2009,https://boxd.it/1Hj2
2025-12-20,Rocky,1976,https://boxd.it/28Uk
2025-12-20,The Terminator,1984,https://boxd.it/2aQY
2025-12-20,Final Destination,2000,https://boxd.it/1YrC
2025-12-20,The Queen's Gambit,2020,https://boxd.it/s1Ym
2025-12-20,Matilda,1996,https://boxd.it/1VhY
2025-12-20,Snowpiercer,2013,https://boxd.it/3Icg
2025-12-20,Home Alone 2: Lost in New York,1992,https://boxd.it/29F6
2025-12-20,Ghostbusters,1984,https://boxd.it/g2w
2025-12-20,M3GAN,2022,https://boxd.it/jxmG
2025-12-20,Monsters University,2013,https://boxd.it/bQm
2025-12-20,Groundhog Day,1993,https://boxd.it/2b3e
2025-12-20,Skyfall,2012,https://boxd.it/17Fc
2025-12-20,Ice Age,2002,https://boxd.it/2apS
